,categoria,titulo
612,Ciberseguridad,PERMISO DE EJECUCIÓN PYTHON (1004)
12207,Ciberseguridad,RV: captura pantalla (12292)
13857,Ciberseguridad,RE: [GLPI #0000119] Actualización de un cambio CC097_2023_Actualización de versión McAfee ESM SIEM (13946)
15895,Ciberseguridad,Problemas con equipo (15982)
16273,Ciberseguridad,recibí este phishing (16369)
16279,Ciberseguridad,RV: Se han filtrado sus datos personales debido a ciertas actividades en sitios sospechosos. (16374)
16285,Ciberseguridad,RV: Se han filtrado sus datos personales debido a ciertas actividades en sitios sospechosos. (16379)
16292,Ciberseguridad,RV: Se han filtrado sus datos personales debido a ciertas actividades en sitios sospechosos. (16386)
16295,Ciberseguridad,RV: Se han filtrado sus datos personales debido a ciertas actividades en sitios sospechosos. (16389)
16296,Ciberseguridad,RV: Se han filtrado sus datos personales debido a ciertas actividades en sitios sospechosos. (16390)
16297,Ciberseguridad,Reportar Phishing (16391)
16298,Ciberseguridad,RV: Se han filtrado sus datos personales debido a ciertas actividades en sitios sospechosos. (16392)
16300,Ciberseguridad,phishing - RV: Se han filtrado sus datos personales debido a ciertas actividades en sitios sospechosos. (16394)
16314,Ciberseguridad,RV: Se han filtrado sus datos personales debido a ciertas actividades en sitios sospechosos. (16408)
16315,Ciberseguridad,RV: Se han filtrado sus datos personales debido a ciertas actividades en sitios sospechosos. (16409)
24212,Ciberseguridad,consulta instalación de anaconda (24367)
26954,Ciberseguridad,instalación de programa (27114)
27335,Ciberseguridad,RE: [GLPI #0010345] Instalar software Python (27494)
29701,Ciberseguridad,instalación de Python (29861)
30633,Ciberseguridad,RV: Información Evento Power Automate - Nuevos Problemas con Servicio de Pautomat1 (30794)
33253,Ciberseguridad,[Soporte] Instalación de Python 33383 (33416)
35113,Ciberseguridad,RE: Vulnerabilidades DMZ (35253)
35154,Ciberseguridad,DVERGARA no puede abrir correo (35292)
38806,Ciberseguridad,RV: IP y Puertos Reloj Control Chilquintas (38971)
45309,Ciberseguridad,Bloqueo Antispam (45482)
51929,Ciberseguridad,Aplicativo Web puerto 3000 (52103)
53851,Ciberseguridad,RE: [GLPI #0053360] Solicitud de instalaciÃ³n de Python (54026)
54076,Ciberseguridad,InstalaciÃ³n Python (54249)
54077,Ciberseguridad,InstalaciÃ³n motor Phyton (54250)
54223,Ciberseguridad,InstalaciÃ³n de python (54397)
62687,Ciberseguridad,RV: Resumen de absentismos solicitados (62867)
62764,Ciberseguridad,aplicaciÃ³n bloqueada por CORTEX (62944)
64158,Ciberseguridad,Alerta - Usuarios de riesgo. (64384)
64292,Ciberseguridad,RE: ValidaciÃ³n de actividad sospechosa reportada (64518)
64483,Ciberseguridad,Solicitud de instalaciÃ³n de Pyton (64708)
66843,Ciberseguridad,Alerta de seguridad. (67084)
66888,Ciberseguridad,RV: Su Certificado Digital Simple estÃ¡ listo Â¡DescÃ¡rguelo! (67127)
66999,Ciberseguridad,RV: JosÃ© Miguel Requena Pulido le ha invitado a acceder a las aplicaciones de su organizaciÃ³n (67239)
67002,Ciberseguridad,RV: JosÃ© Miguel Requena Pulido le ha invitado a acceder a las aplicaciones de su organizaciÃ³n (67243)
